"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2014 00:00";4.88478;-81.699186;-4.7406055;2.6759805;352.7466;352.7466;1.5705;19.55823285;44.6913079;1.25832614450309;27.62;28.875;0.055;0.033;NA;0;0;0
0.5;"01/01/2014 00:30";NA;-80.91587;-3.9643685;3.6309515;350.5214;350.5214;1.164;19.71941329;49.1965922;1.1674493610234;27.39;28.84;0.055;0.033;NA;0;0;0
1;"01/01/2014 01:00";NA;-79.4436435;-4.375289;3.2819545;347.5583;347.5583;0.3935;20.39366429;46.82620712;1.27397679201341;27.155;28.79;0.055;0.033;NA;0;0;0
1.5;"01/01/2014 01:30";1.43874;-76.279559;-2.9724545;4.5804045;345.095;345.095;0.826;19.69480559;43.28098054;1.30140016552021;26.96;28.765;0.055;0.033;NA;0;0;0
2;"01/01/2014 02:00";NA;-76.502628;-2.7361925;5.3249355;345.1663;345.1663;1.055;18.42504823;39.46145175;1.28329614682877;26.775;28.735;0.055;0.032;NA;0;0;0
2.5;"01/01/2014 02:30";NA;-75.7282986;-4.9592425;1.3370061;341.7749;341.7749;1.8305;19.27647468;44.45064653;1.24185134588297;26.575;28.695;0.055;0.032;NA;0;0;0
3;"01/01/2014 03:00";NA;-71.49192485;-1.84484335;2.7237815;340.0111;340.0111;1.1905;19.50286553;46.7796275;1.20665688877844;26.365;28.64;0.055;0.032;NA;0;0;0
3.5;"01/01/2014 03:30";NA;-70.6581327;-1.8311345;1.8479482;342.3631;342.3631;0.735;18.08054042;47.95964453;1.07955877751859;26.185;28.595;0.055;0.032;NA;0;0;0
4;"01/01/2014 04:00";18.3236;-71.6004505;-2.7122565;2.946844;341.3329;341.3329;0.996;17.32262324;48.6893919;1.01477158984458;26.015;28.55;0.055;0.032;NA;0;0;0
4.5;"01/01/2014 04:30";2.59262;-70.021257;-2.3530815;2.5807755;343.4249;343.4249;1.4215;17.40628942;47.14708894;1.05081468737848;25.825;28.495;0.055;0.032;NA;0;0;0
5;"01/01/2014 05:00";10.2808;-65.9663385;-2.9748905;2.519498;350.11175;350.11175;1.669;16.62868608;48.28052635;0.978842752459468;25.625;28.41;0.055;0.032;NA;0;0;0
5.5;"01/01/2014 05:30";NA;-64.837145;-2.935355;2.48589;351.87035;351.87035;1.55024;17.27832938;49.01027372;1.00560548687509;25.45;28.335;NA;NA;NA;0;0;0
6;"01/01/2014 06:00";-4.16894;-61.985654;-2.9918625;1.9463915;352.455;352.455;1.3113;17.95750192;52.58655338;0.975996505344321;25.3;28.27;NA;NA;NA;0;0;0
6.5;"01/01/2014 06:30";NA;-54.37731895;5.50772455;2.5335435;347.9083;347.9083;1.38589;17.26356476;57.23933981;0.842527075985641;25.205;28.225;NA;NA;NA;0;0;0
7;"01/01/2014 07:00";5.297;-11;59.230465;11.463928;346.15525;346.15525;1.3605;16.7172738;58.43488337;0.791101558528736;25.1;28.2;NA;NA;NA;0;0;0
7.5;"01/01/2014 07:30";20.2195;56.3;147.67465;26.374445;348.15545;348.15545;1.62413;18.87782993;64.20040515;0.780682109717841;24.8;28;NA;NA;NA;0;0;0
8;"01/01/2014 08:00";21.9863;134.6;250.46165;42.628515;351.8594;351.8594;1.15838;21.18603226;68.2787096;0.797970165260981;24.5;27.7;NA;NA;NA;0;0;0
8.5;"01/01/2014 08:30";NA;214.3;354.49385;58.39494;359.2889;359.2889;0.37291;23.15464831;72.729651;0.773339103747735;24.1;27.1;NA;NA;NA;0;0;0
