"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2012 00:00";NA;-66.626935;-1.2205;4.0795;343.123065;404.45;0.885;22.76;21.675;2.16875090506672;29.205;29.56;0.033;0.047;0.619;0;0;0
0.5;"01/01/2012 00:30";NA;-62.9;-1.5;3.8;340.8;398.4;0.7;22.3;22.2;2.0948930222625;28.9;29.6;0.033;0.047;0.619;0;0;0
1;"01/01/2012 01:00";NA;-62;-0.3;4.8;339.1;396;0.7;21.9;22.3;2.04184632200014;28.6;29.6;0.033;0.047;0.618;0;0;0
1.5;"01/01/2012 01:30";NA;-62.4;-0.5;4.6;338.3;395.6;0.9;22;22;2.06226632992425;28.3;29.6;0.033;0.046;0.618;0;0;0
2;"01/01/2012 02:00";NA;-63.1;-0.7;4.4;338.5;396.5;1;21.7;22.1;2.02226062549761;28;29.5;0.033;0.046;0.618;0;0;0
2.5;"01/01/2012 02:30";NA;-66.5;-0.9;4.1;338.4;399.9;1.2;21.6;22;2.01251912630804;27.8;29.5;0.033;0.047;0.618;0;0;0
3;"01/01/2012 03:00";NA;-62.7;-1.8;3.6;337.3;394.6;1;21.4;22;1.9880410668082;27.5;29.5;0.033;0.046;0.618;0;0;0
3.5;"01/01/2012 03:30";NA;-63.1;-1.3;3.9;335.9;393.8;1.1;21.2;22.2;1.95878809884625;27.3;29.5;0.033;0.046;0.618;0;0;0
4;"01/01/2012 04:00";NA;-62.4;-1.7;3.4;334.6;391.9;1.2;20.7;23;1.87998878105046;27.1;29.5;0.033;0.046;0.617;0;0;0
4.5;"01/01/2012 04:30";NA;-67.5;-1.5;3.7;333.4;395.7;1.5;20.5;23.7;1.84008229699151;26.8;29.4;0.033;0.046;0.617;0;0;0
5;"01/01/2012 05:00";NA;-70.4;-1.9;3.4;332.5;397.6;1.7;20.4;24;1.82157591193849;26.6;29.4;0.033;0.046;0.617;0;0;0
5.5;"01/01/2012 05:30";NA;-70;-2.2;3.2;332.4;397;1.6;20.2;24.4;1.78974509931247;26.4;29.3;0.033;0.046;0.617;0;0;0
6;"01/01/2012 06:00";NA;-66.3;-2.8;2.5;332.7;393.7;1.4;19.6;25.6;1.69706829509895;26.2;29.3;0.033;0.046;0.617;0;0;0
6.5;"01/01/2012 06:30";NA;-54.8;9.1;5;332.4;391.3;1.1;18.9;27.2;1.58974950058668;26.1;29.3;0.033;0.046;0.616;0;0;0
7;"01/01/2012 07:00";NA;-27.6;51.7;14.2;331.3;396.4;0.8;18.7;28.6;1.53981381377402;25.9;29.2;0.033;0.046;0.616;0;0;0
7.5;"01/01/2012 07:30";NA;5.6;107.2;25.6;331.7;407.7;0.8;19.1;29;1.56990914014425;25.7;29.2;0.033;0.046;0.616;0;0;0
8;"01/01/2012 08:00";NA;81.5;225;49.2;333.9;428.2;1.5;20.7;27;1.78232702619069;25.6;29;0.033;0.046;0.616;0;0;0
8.5;"01/01/2012 08:30";NA;158.5;338.3;70.2;338.8;448.4;2.6;22.5;23.8;2.07689775623336;25.4;28.9;0.033;0.047;0.616;0;0;0
9;"01/01/2012 09:00";25.1253;219.3;432.5;88.9;345.7;470;2.7;24.3;21.1;2.3970385833098;25.4;28.7;0.034;0.047;0.615;0;0;0
9.5;"01/01/2012 09:30";NA;273.7;519.1;106.7;352.9;491.6;3.1;26;17.9;2.7597420992827;25.6;28.5;0.034;0.047;0.615;0;0;0
10;"01/01/2012 10:00";39.5207;309.4;585.5;121;359.2;514.3;3;27.5;16.1;3.08019570559574;25.8;28.4;0.034;0.047;0.615;0;0;0
10.5;"01/01/2012 10:30";20.5476;336;632.8;131.4;365;530.4;3.5;28.5;14.9;3.31156398103862;26.3;28.3;0.034;0.047;0.615;0;0;0
11;"01/01/2012 11:00";19.4603;353.2;672.7;140.7;370.5;549.3;3.1;29.5;14.2;3.53743573272905;26.9;28.2;0.034;0.047;0.615;0;0;0
11.5;"01/01/2012 11:30";41.4837;357.7;691.3;145.4;375.9;564.1;3.1;30.4;13.4;3.75964429221551;27.6;28.2;0.034;0.047;0.615;0;0;0
12;"01/01/2012 12:00";27.3178;367.1;714.6;150.6;379.2;576.1;3;31;12.8;3.9175404429754;28.4;28.1;0.034;0.047;0.614;0;0;0
